Init time, 0.032323
Iteration: 678, 0.019025, 15.860765
Iteration: 679, 0.023054, 15.883821
Iteration: 680, 0.023723, 15.907546
Iteration: 681, 0.028846, 15.936394
Iteration: 682, 0.020408, 15.956803
Iteration: 683, 0.027377, 15.984181
Iteration: 684, 0.024640, 16.008823
Iteration: 685, 0.019188, 16.028013
Iteration: 686, 0.016955, 16.044969
Iteration: 687, 0.021995, 16.066966
Iteration: 688, 0.021461, 16.088429
Iteration: 689, 0.019963, 16.108394
Iteration: 690, 0.026695, 16.135091
Iteration: 691, 0.022335, 16.157428
Iteration: 692, 0.022179, 16.179608
Iteration: 693, 0.019063, 16.198673
Iteration: 694, 0.024409, 16.223084
Iteration: 695, 0.024251, 16.247336
Iteration: 696, 0.024140, 16.271478
